City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,fortuna,40.5982,-124.1573,13.7,88,100,8.75,US,1705897090
327,geneina,13.45,22.45,14.53,15,0,3.53,SD,1705897090
328,patti,31.2808,74.8572,8.04,24,1,0.43,IN,1705896367
329,jorpeland,59.0225,6.0408,8.74,97,100,10.89,NO,1705897092
330,camocim,-2.9022,-40.8411,26.07,88,14,3.67,BR,1705897092
331,schlusser,40.2417,-77.1769,-5.49,67,11,2.37,US,1705897093
332,enewetak,11.3474,162.3373,26.44,78,33,10.39,MH,1705897093
333,katwijk aan zee,52.2033,4.3986,11.63,92,100,18.04,NL,1705897094
334,berezovyy,51.6667,135.7,-19.52,67,21,1.0,RU,1705897094
335,likasi,-10.9814,26.7333,16.62,99,100,1.21,CD,1705897094
336,arkhangel'sk,64.5401,40.5433,-13.82,92,100,5.0,RU,1705897094
337,klamath falls,42.2249,-121.7817,6.7,82,100,5.66,US,1705897047
338,funafuti,-8.5243,179.1942,32.0,70,20,2.57,TV,1705897097
339,dourbali,11.8091,15.8632,17.16,12,3,3.89,TD,1705897097
340,san jose del cabo,23.0589,-109.6977,21.6,80,75,3.09,MX,1705897098
341,pionerskiy,54.9508,20.2275,2.12,81,100,11.04,RU,1705897098
342,yala,6.3333,101.25,24.32,94,100,0.68,TH,1705896780
343,meadow lake,34.8014,-106.5436,6.62,67,100,2.55,US,1705897098
344,tindouf,27.6711,-8.1474,12.25,26,0,2.06,DZ,1705897099
345,ha'il,27.5219,41.6907,11.01,62,0,3.09,SA,1705897099
346,antigonish,45.6169,-61.9986,-2.07,90,100,3.58,CA,1705897099
347,west bay,19.3667,-81.4167,25.03,85,52,13.97,KY,1705897100
348,sao vicente,-23.9631,-46.3919,24.43,26,66,1.67,BR,1705897100
349,naliya,23.2667,68.8333,21.62,59,29,1.85,IN,1705896888
350,sassandra,4.95,-6.0833,25.88,92,2,1.72,CI,1705897102
351,boca suno,-0.7167,-77.1333,21.58,98,97,0.67,EC,1705897102
352,lazaro cardenas,17.9583,-102.2,24.34,83,34,1.29,MX,1705897102
353,cloverdale,38.8055,-123.0172,13.54,92,100,2.24,US,1705897103
354,kargopol',61.5071,38.9456,-9.84,92,100,4.18,RU,1705897103
355,hotan,37.0997,79.9269,-3.66,48,6,1.88,CN,1705897104
356,meadow lakes,61.6247,-149.6011,-13.38,44,20,8.75,US,1705897105
357,buala,-8.145,159.5921,29.31,79,76,2.7,SB,1705897105
358,macomb,40.4592,-90.6718,-3.42,65,100,7.2,US,1705897106
